CONSTRUCTION PROJECT PROPOSAL & BID ACCEPTANCE

CONTRACTOR / COMPANY INFO,,,CLIENT / PROJECT INFO
Company Name:,Novality Construction & Design LLC,,Client Name:,Robert Sterling / Apex Properties
Contact Person:,"David Novality, Master Contractor",,Project Name:,Luxury Kitchen & Living Area Remodel
Phone Number:,(555) 382-9100,,Job Location:,"742 Evergreen Terrace, Suite 300"
Email Address:,estimating@novalitystore.com,,Estimate Number:,EST-2026-042

SCOPE OF WORK SPECIFICATION
"Full kitchen demolition, custom cabinetry, quartz countertops, electrical & plumbing relocation, hardwood flooring, and ambient LED lighting."

PROJECT PRICING SUMMARY BY TRADE & SERVICE
Cost Category / Trade Description,,,,Contract Price ($)
Direct Materials & Custom Architectural Fixtures,,,,21650.0
Direct Labor & Skilled Craftsmanship Hours,,,,16800.0
Licensed Specialty Subcontractor Packages,,,,9750.0
"Equipment Rentals, Waste Removal & Specialty Tooling",,,,2850.0
"Municipal Building & Trade Permits, Site Protection & Cleanup",,,,1450.0
"Contractor Overhead, Management & Contingency Allowance",,,,7875.0
Professional Contractor Markup & Value Engineering,,,,14177.5
SUBTOTAL CONTRACT BID PRICE,,,,74552.5
Preferred Client Discount (-2.50%),,,,-1863.81
Net Taxable Contract Bid Amount,,,,72688.69
Applicable Sales Tax (8.25%),,,,5996.82
GRAND TOTAL CONTRACT BID PRICE ($),,,,78685.51

"EXCLUSIONS, CLARIFICATIONS & PAYMENT TERMS"
"EXCLUSIONS: Excludes hazardous material abatement, unforeseen subterranean repairs, and utility company connection fees. PAYMENT SCHEDULE: 20% deposit upon contract signing, 50% upon progress milestones, and 30% upon substantial completion. PROPOSAL VALIDITY: 30 days from date of issue."
